"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Towns County, GA","13281",Suppressed,28663,Suppressed,Suppressed,Suppressed
,"Troup County, GA","13285",Suppressed,223484,Suppressed,Suppressed,Suppressed
,"Twiggs County, GA","13289",Suppressed,20422,Suppressed,Suppressed,Suppressed
,"Upson County, GA","13293",Suppressed,80128,Suppressed,Suppressed,Suppressed
,"Walker County, GA","13295",Suppressed,208618,Suppressed,Suppressed,Suppressed
,"Wayne County, GA","13305",Suppressed,96943,Suppressed,Suppressed,Suppressed
,"Whitfield County, GA","13313",Suppressed,338812,Suppressed,Suppressed,Suppressed
,"Worth County, GA","13321",Suppressed,57994,Suppressed,Suppressed,Suppressed
,"Hawaii County, HI","15001",Suppressed,571924,Suppressed,Suppressed,Suppressed
,"Honolulu County, HI","15003",14,3150062,0.4,0.2,0.7
,"Kauai County, HI","15007",Suppressed,208311,Suppressed,Suppressed,Suppressed
,"Maui County, HI","15009",Suppressed,485070,Suppressed,Suppressed,Suppressed
,"Ada County, ID","16001",Suppressed,1693905,Suppressed,Suppressed,Suppressed
,"Bingham County, ID","16011",Suppressed,152536,Suppressed,Suppressed,Suppressed
,"Bonneville County, ID","16019",Suppressed,408591,Suppressed,Suppressed,Suppressed
,"Canyon County, ID","16027",Suppressed,803914,Suppressed,Suppressed,Suppressed
,"Cassia County, ID","16031",Suppressed,78402,Suppressed,Suppressed,Suppressed
,"Jefferson County, ID","16051",Suppressed,103268,Suppressed,Suppressed,Suppressed
,"Jerome County, ID","16053",Suppressed,79048,Suppressed,Suppressed,Suppressed
,"Kootenai County, ID","16055",Suppressed,524864,Suppressed,Suppressed,Suppressed
,"Lemhi County, ID","16059",Suppressed,18880,Suppressed,Suppressed,Suppressed
,"Minidoka County, ID","16067",Suppressed,65998,Suppressed,Suppressed,Suppressed
,"Nez Perce County, ID","16069",Suppressed,124166,Suppressed,Suppressed,Suppressed
,"Owyhee County, ID","16073",Suppressed,36382,Suppressed,Suppressed,Suppressed
,"Payette County, ID","16075",Suppressed,74594,Suppressed,Suppressed,Suppressed
,"Boone County, IL","17007",Suppressed,163559,Suppressed,Suppressed,Suppressed
,"Champaign County, IL","17019",Suppressed,817817,Suppressed,Suppressed,Suppressed
,"Cook County, IL","17031",76,17422324,0.4,0.3,0.5
,"DuPage County, IL","17043",Suppressed,2891723,Suppressed,Suppressed,Suppressed
,"Franklin County, IL","17055",Suppressed,106808,Suppressed,Suppressed,Suppressed
,"Hancock County, IL","17067",Suppressed,45523,Suppressed,Suppressed,Suppressed
,"Jefferson County, IL","17081",Suppressed,108994,Suppressed,Suppressed,Suppressed
,"Jersey County, IL","17083",Suppressed,62081,Suppressed,Suppressed,Suppressed
,"Kane County, IL","17089",Suppressed,1675316,Suppressed,Suppressed,Suppressed
,"Kankakee County, IL","17091",Suppressed,338555,Suppressed,Suppressed,Suppressed
,"Kendall County, IL","17093",Suppressed,468134,Suppressed,Suppressed,Suppressed
,"Knox County, IL","17095",Suppressed,144220,Suppressed,Suppressed,Suppressed
,"Lake County, IL","17097",Suppressed,2238302,Suppressed,Suppressed,Suppressed
,"LaSalle County, IL","17099",Suppressed,318747,Suppressed,Suppressed,Suppressed
,"McDonough County, IL","17109",Suppressed,99418,Suppressed,Suppressed,Suppressed
,"McHenry County, IL","17111",Suppressed,950585,Suppressed,Suppressed,Suppressed
,"McLean County, IL","17113",Suppressed,617765,Suppressed,Suppressed,Suppressed
,"Macon County, IL","17115",Suppressed,297802,Suppressed,Suppressed,Suppressed
,"Macoupin County, IL","17117",Suppressed,126149,Suppressed,Suppressed,Suppressed
,"Madison County, IL","17119",Suppressed,809732,Suppressed,Suppressed,Suppressed
